Site,Year,Date,Plot,Location,Snow_cover,Water_cover,Land_cover,Total_cover,Observer,Notes
barr,2011,29-May-11,brw6,d8,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw6,f10,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw6,f12,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw6,f2,NA,NA,NA,NA,adoll,NA
barr,2011,29-May-11,brw6,f4,NA,NA,NA,NA,adoll,NA
barr,2011,29-May-11,brw6,f6,NA,NA,NA,NA,adoll,NA
barr,2011,29-May-11,brw6,f8,NA,NA,NA,NA,adoll,NA
barr,2011,29-May-11,brw6,h10,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw6,h12,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw6,h2,NA,NA,NA,NA,adoll,NA
barr,2011,29-May-11,brw6,h4,NA,NA,NA,NA,adoll,NA
barr,2011,29-May-11,brw6,h6,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw6,h8,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw6,j10,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw6,j12,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw6,j2,NA,NA,NA,NA,adoll,NA
barr,2011,29-May-11,brw6,j4,NA,NA,NA,NA,adoll,NA
barr,2011,29-May-11,brw6,j6,NA,NA,NA,NA,adoll,NA
barr,2011,29-May-11,brw6,j8,NA,NA,NA,NA,adoll,NA
barr,2011,29-May-11,brw6,l10,100,0,0,100,adoll,NA
barr,2011,29-May-11,brw6,l12,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw6,l2,NA,NA,NA,NA,adoll,NA
barr,2011,29-May-11,brw6,l4,NA,NA,NA,NA,adoll,NA
barr,2011,29-May-11,brw6,l6,NA,NA,NA,NA,adoll,NA
barr,2011,29-May-11,brw6,l8,NA,NA,NA,NA,adoll,NA
barr,2011,29-May-11,brw3,b10,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw3,b12,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw3,b2,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw3,b4,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw3,b6,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw3,b8,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw3,d10,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw3,d12,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw3,d2,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw3,d4,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw3,d6,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw3,d8,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw3,f10,100,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,f12,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw3,f2,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw3,f4,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw3,f6,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw3,f8,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw3,h10,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw3,h12,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw3,h2,100,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,h4,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw3,h6,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw3,h8,100,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,j10,100,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,j12,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw3,j2,100,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,j4,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw3,j6,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw3,j8,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw3,l10,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw3,l12,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw3,l2,100,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,l4,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw3,l6,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw3,l8,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw5,b10,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw5,b12,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw5,b2,100,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,b4,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw5,b6,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw5,b8,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw5,d10,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw5,d12,100,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,d2,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw5,d4,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw5,d6,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw5,d8,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw5,f10,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw5,f12,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw5,f2,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw5,f4,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw5,f6,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw5,f8,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw5,h10,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw5,h12,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw5,h2,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw5,h4,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw5,h6,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw5,h8,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw5,j10,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw5,j12,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw5,j2,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw5,j4,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw5,j6,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw5,j8,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw5,l10,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw5,l12,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw5,l2,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw5,l4,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw5,l6,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw5,l8,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw8,b10,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw8,b12,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw8,b2,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw8,b4,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw8,b6,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw8,b8,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw8,d10,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw8,d12,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw8,d2,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw8,d4,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw8,d6,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw8,d8,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw8,f10,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw8,f12,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw8,f2,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw8,f4,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw8,f6,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw8,f8,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw8,h10,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw8,h12,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw8,h2,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw8,h4,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw8,h6,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw8,h8,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw8,j10,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw8,j12,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw8,j2,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw8,j4,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw8,j6,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw8,j8,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw8,l10,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw8,l12,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw8,l2,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw8,l4,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw8,l6,NA,NA,NA,100,jcunningham,NA
barr,2011,29-May-11,brw8,l8,NA,NA,NA,100,jcunningham,NA
barr,2011,31-May-11,brw3,b10,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw3,b12,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw3,b2,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw3,b4,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw3,b6,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw3,b8,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw3,d10,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw3,d12,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw3,d2,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw3,d4,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw3,d6,100,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,d8,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw3,f10,100,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,f12,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw3,f2,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw3,f4,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw3,f6,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw3,f8,100,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,h10,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw3,h12,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw3,h2,100,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,h4,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw3,h6,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw3,h8,100,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,j10,100,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,j12,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw3,j2,100,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,j4,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw3,j6,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw3,j8,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw3,l10,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw3,l12,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw3,l2,100,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,l4,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw3,l6,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw3,l8,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw6,b10,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw6,b12,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw6,b2,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw6,b4,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw6,b6,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw6,b8,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw6,d10,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw6,d12,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw6,d2,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw6,d4,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw6,d6,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw6,d8,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw6,f10,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw6,f12,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw6,f2,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw6,f4,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw6,f6,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw6,f8,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw6,h10,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw6,h12,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw6,h2,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw6,h4,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw6,h6,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw6,h8,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw6,j10,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw6,j12,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw6,j2,NA,NA,NA,NA,abankert,NA
barr,2011,31-May-11,brw6,j4,NA,NA,NA,NA,abankert,NA
barr,2011,31-May-11,brw6,j6,NA,NA,NA,NA,abankert,NA
barr,2011,31-May-11,brw6,j8,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw6,l10,100,0,0,100,abankert,NA
barr,2011,31-May-11,brw6,l12,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw6,l2,NA,NA,NA,NA,abankert,NA
barr,2011,31-May-11,brw6,l4,NA,NA,NA,NA,abankert,NA
barr,2011,31-May-11,brw6,l6,NA,NA,NA,NA,abankert,NA
barr,2011,31-May-11,brw6,l8,NA,NA,NA,100,abankert,NA
barr,2011,31-May-11,brw8,b10,NA,NA,NA,100,adoll,NA
barr,2011,31-May-11,brw8,b12,NA,NA,NA,100,adoll,NA
barr,2011,31-May-11,brw8,b2,NA,NA,NA,100,adoll,NA
barr,2011,31-May-11,brw8,b4,NA,NA,NA,100,adoll,NA
barr,2011,31-May-11,brw8,b6,NA,NA,NA,100,adoll,NA
barr,2011,31-May-11,brw8,b8,NA,NA,NA,100,adoll,NA
barr,2011,31-May-11,brw8,d10,NA,NA,NA,100,adoll,NA
barr,2011,31-May-11,brw8,d12,NA,NA,NA,100,adoll,NA
barr,2011,31-May-11,brw8,d2,NA,NA,NA,100,adoll,NA
barr,2011,31-May-11,brw8,d4,NA,NA,NA,100,adoll,NA
barr,2011,31-May-11,brw8,d6,NA,NA,NA,100,adoll,NA
barr,2011,31-May-11,brw8,d8,NA,NA,NA,100,adoll,NA
barr,2011,31-May-11,brw8,f10,NA,NA,NA,100,adoll,NA
barr,2011,31-May-11,brw8,f12,NA,NA,NA,100,adoll,NA
barr,2011,31-May-11,brw8,f2,NA,NA,NA,100,adoll,NA
barr,2011,31-May-11,brw8,f4,NA,NA,NA,100,adoll,NA
barr,2011,31-May-11,brw8,f6,NA,NA,NA,100,adoll,NA
barr,2011,31-May-11,brw8,f8,NA,NA,NA,100,adoll,NA
barr,2011,31-May-11,brw8,h10,NA,NA,NA,100,adoll,NA
barr,2011,31-May-11,brw8,h12,NA,NA,NA,100,adoll,NA
barr,2011,31-May-11,brw8,h2,NA,NA,NA,100,adoll,NA
barr,2011,31-May-11,brw8,h4,NA,NA,NA,100,adoll,NA
barr,2011,31-May-11,brw8,h6,NA,NA,NA,100,adoll,NA
barr,2011,31-May-11,brw8,h8,NA,NA,NA,100,adoll,NA
barr,2011,31-May-11,brw8,j10,NA,NA,NA,100,adoll,NA
barr,2011,31-May-11,brw8,j12,NA,NA,NA,100,adoll,NA
barr,2011,31-May-11,brw8,j2,NA,NA,NA,100,adoll,NA
barr,2011,31-May-11,brw8,j4,NA,NA,NA,100,adoll,NA
barr,2011,31-May-11,brw8,j6,NA,NA,NA,100,adoll,NA
barr,2011,31-May-11,brw8,j8,NA,NA,NA,100,adoll,NA
barr,2011,31-May-11,brw8,l10,NA,NA,NA,100,adoll,NA
barr,2011,31-May-11,brw8,l12,NA,NA,NA,100,adoll,NA
barr,2011,31-May-11,brw8,l2,NA,NA,NA,100,adoll,NA
barr,2011,31-May-11,brw8,l4,NA,NA,NA,100,adoll,NA
barr,2011,31-May-11,brw8,l6,NA,NA,NA,100,adoll,NA
barr,2011,31-May-11,brw8,l8,NA,NA,NA,100,adoll,NA
barr,2011,31-May-11,brw2,b10,NA,NA,NA,100,bhill,NA
barr,2011,31-May-11,brw2,b12,NA,NA,NA,100,bhill,NA
barr,2011,31-May-11,brw2,b2,NA,NA,NA,100,bhill,NA
barr,2011,31-May-11,brw2,b4,NA,NA,NA,100,bhill,NA
barr,2011,31-May-11,brw2,b6,NA,NA,NA,100,bhill,NA
barr,2011,31-May-11,brw2,b8,NA,NA,NA,100,bhill,NA
barr,2011,31-May-11,brw2,d10,NA,NA,NA,100,bhill,NA
barr,2011,31-May-11,brw2,d12,NA,NA,NA,100,bhill,NA
barr,2011,31-May-11,brw2,d2,NA,NA,NA,100,bhill,NA
barr,2011,31-May-11,brw2,d4,NA,NA,NA,100,bhill,NA
barr,2011,31-May-11,brw2,d6,NA,NA,NA,100,bhill,NA
barr,2011,31-May-11,brw2,d8,NA,NA,NA,100,bhill,NA
barr,2011,31-May-11,brw2,f10,NA,NA,NA,100,bhill,NA
barr,2011,31-May-11,brw2,f12,NA,NA,NA,100,bhill,NA
barr,2011,31-May-11,brw2,f2,NA,NA,NA,100,bhill,NA
barr,2011,31-May-11,brw2,f4,NA,NA,NA,100,bhill,NA
barr,2011,31-May-11,brw2,f6,NA,NA,NA,100,bhill,NA
barr,2011,31-May-11,brw2,f8,NA,NA,NA,100,bhill,NA
barr,2011,31-May-11,brw2,h10,NA,NA,NA,100,bhill,NA
barr,2011,31-May-11,brw2,h12,NA,NA,NA,100,bhill,NA
barr,2011,31-May-11,brw2,h2,NA,NA,NA,100,bhill,NA
barr,2011,31-May-11,brw2,h4,NA,NA,NA,100,bhill,NA
barr,2011,31-May-11,brw2,h6,NA,NA,NA,100,bhill,NA
barr,2011,31-May-11,brw2,h8,NA,NA,NA,100,bhill,NA
barr,2011,31-May-11,brw2,j10,NA,NA,NA,100,bhill,NA
barr,2011,31-May-11,brw2,j12,NA,NA,NA,100,bhill,NA
barr,2011,31-May-11,brw2,j2,NA,NA,NA,100,bhill,NA
barr,2011,31-May-11,brw2,j4,NA,NA,NA,100,bhill,NA
barr,2011,31-May-11,brw2,j6,NA,NA,NA,100,bhill,NA
barr,2011,31-May-11,brw2,j8,NA,NA,NA,100,bhill,NA
barr,2011,31-May-11,brw2,l10,NA,NA,NA,100,bhill,NA
barr,2011,31-May-11,brw2,l12,NA,NA,NA,100,bhill,NA
barr,2011,31-May-11,brw2,l2,NA,NA,NA,100,bhill,NA
barr,2011,31-May-11,brw2,l4,NA,NA,NA,100,bhill,NA
barr,2011,31-May-11,brw2,l6,NA,NA,NA,100,bhill,NA
barr,2011,31-May-11,brw2,l8,NA,NA,NA,100,bhill,NA
barr,2011,31-May-11,brw1,b10,NA,NA,NA,100,jcunningham,NA
barr,2011,31-May-11,brw1,b12,NA,NA,NA,100,jcunningham,NA
barr,2011,31-May-11,brw1,b2,NA,NA,NA,100,jcunningham,NA
barr,2011,31-May-11,brw1,b4,NA,NA,NA,100,jcunningham,NA
barr,2011,31-May-11,brw1,b6,NA,NA,NA,100,jcunningham,NA
barr,2011,31-May-11,brw1,b8,NA,NA,NA,100,jcunningham,NA
barr,2011,31-May-11,brw1,d10,NA,NA,NA,100,jcunningham,NA
barr,2011,31-May-11,brw1,d12,NA,NA,NA,100,jcunningham,NA
barr,2011,31-May-11,brw1,d2,NA,NA,NA,100,jcunningham,NA
barr,2011,31-May-11,brw1,d4,NA,NA,NA,100,jcunningham,NA
